code,pdc,mdc,echo_pdx,drg,drgname,status
M8449,8E,08,M8449,08540,Pathological fracture and malignancy wo sig CCC,ok
L405,8F,08,L405,08550,Connective tissue disorders wo sig CCC,ok
M068,8F,08,M068,26509,Ungroupable,ok
M459,8F,08,M459,26509,Ungroupable,ok
A180,8G,08,A180,08560,Septic arthritis wo sig CCC,ok
M0023,8G,08,M0023,08560,Septic arthritis wo sig CCC,ok
M0099,8G,08,M0099,08560,Septic arthritis wo sig CCC,ok
M400,8H,08,M400,08570,Medical back problems wo sig CCC,ok
M4719,8H,08,M4719,08570,Medical back problems wo sig CCC,ok
T081,8H,08,T081,08570,Medical back problems wo sig CCC,ok
E550,8J,08,E550,08581,Bone disease and arthropathies w min CCC,ok
M2507,8J,08,M2507,08581,Bone disease and arthropathies w min CCC,ok
M9429,8J,08,M9429,08580,Bone disease and arthropathies wo sig CCC,ok
I730,8L,08,I730,08600,Signs and symptoms of MS system & CT wo sig CCC,ok
M6240,8L,08,M6240,08600,Signs and symptoms of MS system & CT wo sig CCC,ok
R762,8L,08,R762,08600,Signs and symptoms of MS system & CT wo sig CCC,ok
M242,8M,08,M242,08610,"Tendonitis, myositis and bursitis wo sig CCC",ok
M6634,8M,08,M6634,08610,"Tendonitis, myositis and bursitis wo sig CCC",ok
M7799,8M,08,M7799,08610,"Tendonitis, myositis and bursitis wo sig CCC",ok
M966,8N,08,M966,08620,"Aftercare, MS system & CT wo sig CCC",ok
T847,8N,08,T847,08620,"Aftercare, MS system & CT wo sig CCC",ok
Z479,8N,08,Z479,08620,"Aftercare, MS system & CT wo sig CCC",ok
M2413,8P,08,M2413,08640,"Fx, spr, str & disl of f arm,hand & foot age 0-17 wo sig CCC",ok
S564,8P,08,S564,08641,"Fx, spr, str & disl of f arm,hand & foot age 0-17 w min CCC",ok
S936,8P,08,S936,08640,"Fx, spr, str & disl of f arm,hand & foot age 0-17 wo sig CCC",ok
M220,8Q,08,M220,08660,"Fx, spr, str & disl of up arm& low leg age 0-17 wo sig CCC",ok
S4300,8Q,08,S4300,08661,"Fx, spr, str & disl of up arm& low leg age 0-17 w min CCC",ok
T135,8Q,08,T135,08660,"Fx, spr, str & disl of up arm& low leg age 0-17 wo sig CCC",ok
B902,8R,08,B902,08670,other MS system and CT diagnoses wo sig CCC,ok
M8589,8R,08,M8589,08670,other MS system and CT diagnoses wo sig CCC,ok
Z522,8R,08,Z522,08670,other MS system and CT diagnoses wo sig CCC,ok
E850,8S,08,E850,08730,Major connective tissue Dx wo sig CCC,ok
M313,8S,08,M313,08730,Major connective tissue Dx wo sig CCC,ok
M359,8S,08,M359,08730,Major connective tissue Dx wo sig CCC,ok
L890,9A,09,L890,09500,Skin ulcers wo sig CCC,ok
L893,9A,09,L893,09500,Skin ulcers wo sig CCC,ok
L984,9A,09,L984,09500,Skin ulcers wo sig CCC,ok
B000,9B,09,B000,09510,Severe skin disorders wo sig CCC,ok
L409,9B,09,L409,09510,Severe skin disorders wo sig CCC,ok
Q821,9B,09,Q821,09510,Severe skin disorders wo sig CCC,ok
A067,9C,09,A067,09520,Moderate skin disorders wo sig CCC,ok
L439,9C,09,L439,09520,Moderate skin disorders wo sig CCC,ok
Q822,9C,09,Q822,09520,Moderate skin disorders wo sig CCC,ok
A660,9D,09,A660,09530,Minor skin disorders wo sig CCC,ok
L632,9D,09,L632,09530,Minor skin disorders wo sig CCC,ok
Z521,9D,09,Z521,09530,Minor skin disorders wo sig CCC,ok
C500,9E,09,C500,09540,Malignant breast disorders wo sig CCC,ok
C508,9E,09,C508,09540,Malignant breast disorders wo sig CCC,ok
D486,9E,09,D486,09540,Malignant breast disorders wo sig CCC,ok
I972,9F,09,I972,09550,Non-malignant breast disorders wo sig CCC,ok
N643,9F,09,N643,09550,Non-malignant breast disorders wo sig CCC,ok
Z443,9F,09,Z443,09550,Non-malignant breast disorders wo sig CCC,ok
A46,9G,09,A46,09571,Cellulitis Age 0-17 w min CCC,ok
L031,9G,09,L031,09570,Cellulitis Age 0-17 wo sig CCC,ok
L983,9G,09,L983,09571,Cellulitis Age 0-17 w min CCC,ok
S000,9H,09,S000,09590,"Trauma to skin, subcut tissue & breast  age 0-17 wo sig CCC",ok
S600,9H,09,S600,09590,"Trauma to skin, subcut tissue & breast  age 0-17 wo sig CCC",ok
T130,9H,09,T130,09590,"Trauma to skin, subcut tissue & breast  age 0-17 wo sig CCC",ok
A513,9J,09,A513,09651,Skin malignancy w min CCC,ok
C443,9J,09,C443,09651,Skin malignancy w min CCC,ok
C469,9J,09,C469,09651,Skin malignancy w min CCC,ok
